EmployeeID;Branch       ;Tenure;Salary;Department              ;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education  ;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood           
         1;San Francisco;     4; 63000;Legal                   ;              3;              3;Long           ;Married      ;High School;                3;           88;True    ;          3;                  0;                      2;Highly Likely to Churn    
         2;Chicago      ;    14; 72000;Accounting              ;              4;              4;Short          ;Single       ;Bachelor   ;      3.666666667;           30;True    ;          3;                  2;                      3;Moderately Likely to Churn
         3;Miami        ;     4; 40000;Quality Assurance       ;              3;              3;Medium         ;Single       ;High School;      3.666666667;           64;        ;           ;                  0;                      4;Highly Likely to Churn    
         4;Scranton     ;     2; 55000;Legal                   ;              3;            3.5;Short          ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
         5;Scranton     ;    10; 55500;Legal                   ;              3;              3;Medium         ;Married      ;Bachelor   ;      3.333333333;           18;        ;          4;                  1;                      3;Moderately Likely to Churn
         6;Boston       ;     4; 61500;Customer Service        ;              4;            3.5;Long           ;Married      ;High School;      3.666666667;           72;True    ;          3;                  0;                      2;Highly Likely to Churn    
         7;Boston       ;    10; 82000;Sales                   ;              5;              3;Medium         ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          3;                  1;                      3;Moderately Likely to Churn
         8;New York     ;     6; 59000;Administration          ;              3;            3.5;Short          ;Divorced     ;High School;      3.333333333;           40;True    ;          3;                  0;                      3;Moderately Likely to Churn
         9;Philadelphia ;    10; 73500;Facilities Management   ;              4;               ;Short          ;Single       ;Bachelor   ;      3.333333333;           18;True    ;          2;                  2;                      1;Highly Likely to Churn    
        10;Chicago      ;     3; 62500;Research and Development;              5;              4;Long           ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          4;                  0;                      3;Moderately Likely to Churn
        11;Scranton     ;     4; 43000;Customer Service        ;              3;            3.5;Short          ;Divorced     ;High School;      3.666666667;           80;True    ;          4;                  0;                      3;Moderately Likely to Churn
        12;Philadelphia ;     7; 74000;Operations              ;              4;            3.5;Long           ;Married      ;Bachelor   ;      3.333333333;           36;True    ;          4;                  1;                      3;Moderately Likely to Churn
        13;Scranton     ;    10; 61000;Sales                   ;              2;              3;Short          ;Married      ;High School;      3.333333333;           88;True    ;          3;                  4;                      2;Highly Likely to Churn    
        14;Scranton     ;     8; 54000;Marketing               ;              4;            3.5;Medium         ;Divorced     ;High School;      3.333333333;           80;True    ;           ;                  1;                      2;Highly Likely to Churn    
        15;Chicago      ;     6; 68000;Sales                   ;              5;              4;Short          ;Married      ;High School;      3.333333333;           64;True    ;          3;                  0;                      2;Highly Likely to Churn    
        16;New York     ;    13; 71500;Public Relations        ;              4;              4;Long           ;Divorced     ;Bachelor   ;                3;           36;True    ;          4;                  7;                      2;Highly Likely to Churn    
        17;New York     ;     2; 76000;Sales                   ;              1;            3.5;Short          ;Married      ;Master     ;      3.666666667;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
        18;Philadelphia ;     8; 69000;Quality Assurance       ;              4;    4.036633714;Long           ;Married      ;Bachelor   ;      3.142979773;             ;True    ;2.818418045;                  2;            2.225388879;Highly Likely to Churn    
        19;Chicago      ;     3; 73000;Research and Development;              4;            3.5;Short          ;Divorced     ;Master     ;      3.333333333;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
        20;Chicago      ;    11; 62000;Accounting              ;              4;            3.5;Short          ;Married      ;High School;                3;           40;        ;          4;                  4;                      2;Highly Likely to Churn    
        21;Los Angeles  ;     6; 66000;IT Support              ;              3;            3.5;Short          ;Single       ;Bachelor   ;                3;           24;True    ;          3;                  0;                      2;Highly Likely to Churn    
        22;Chicago      ;     8; 62000;Customer Service        ;              5;              4;Short          ;Married      ;Bachelor   ;      3.666666667;           24;True    ;          3;                  0;                      2;Highly Likely to Churn    
        23;Los Angeles  ;    16; 67500;Research and Development;              4;              4;Medium         ;Married      ;High School;      3.666666667;           56;True    ;          3;                  8;                      2;Highly Likely to Churn    
        24;Philadelphia ;     4; 63000;IT Support              ;              3;            3.5;Long           ;Divorced     ;Bachelor   ;                4;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
        25;Philadelphia ;     8; 74000;Operations              ;              2;              4;Medium         ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          3;                  2;                      2;Highly Likely to Churn    
        26;Miami        ;     7; 55000;Research and Development;              4;            4.5;Short          ;Divorced     ;Bachelor   ;                4;           24;True    ;          3;                  1;                      2;Highly Likely to Churn    
        27;Seattle      ;     6; 64000;Accounting              ;              4;    3.920726252;Medium         ;Married      ;Bachelor   ;      3.351795258;  17.79213437;True    ;3.849695822;                  0;            2.923242858;Highly Likely to Churn    
        28;             ;    14; 70500;Quality Assurance       ;              4;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           18;True    ;          3;                  2;                      3;Moderately Likely to Churn
        29;Atlanta      ;     4; 58000;Procurement             ;              3;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           18;True    ;          3;                  0;                      2;Highly Likely to Churn    
        30;Los Angeles  ;     4; 65000;Legal                   ;              2;              3;Medium         ;Married      ;Master     ;      3.666666667;             ;        ;          3;                  0;                      2;Highly Likely to Churn    
        31;Scranton     ;     3; 40500;Quality Assurance       ;              3;              4;Medium         ;Divorced     ;High School;      3.333333333;           56;        ;          4;                  0;                      3;Moderately Likely to Churn
        32;San Francisco;     4; 73500;Legal                   ;              3;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           18;True    ;           ;                  0;                      3;Moderately Likely to Churn
        33;Atlanta      ;    10; 74000;Accounting              ;              5;               ;Short          ;Divorced     ;High School;      3.666666667;           48;True    ;          3;                  2;                      2;Highly Likely to Churn    
        34;Boston       ;    13; 81500;Product Management      ;              3;            3.5;Long           ;Married      ;Bachelor   ;                4;           30;True    ;          4;                  5;                      3;Moderately Likely to Churn
        35;Los Angeles  ;    17; 70000;Research and Development;              2;              3;Short          ;Divorced     ;Bachelor   ;      3.666666667;            6;        ;          3;                  0;                      2;Highly Likely to Churn    
        36;Chicago      ;     3; 63000;Sales                   ;              5;            4.5;Short          ;Single       ;Bachelor   ;      4.333333333;           36;True    ;          4;                  0;                      2;Highly Likely to Churn    
        37;Boston       ;     3; 60000;Marketing               ;              1;            3.5;Long           ;Married      ;Bachelor   ;      3.333333333;           36;True    ;          4;                  0;                      3;Moderately Likely to Churn
        38;Boston       ;     3; 70000;Research and Development;              3;              3;Short          ;Single       ;Bachelor   ;                3;            6;True    ;          4;                  0;                      3;Moderately Likely to Churn
        39;Boston       ;     2; 53500;Administration          ;              4;            4.5;Medium         ;Single       ;High School;                4;           88;True    ;          3;                  0;                      2;Highly Likely to Churn    
        40;Denver       ;     3; 62500;Marketing               ;              5;              4;Long           ;Divorced     ;High School;      3.333333333;           64;True    ;          4;                  0;                      3;Highly Likely to Churn    
